customer_id,loss_chasing_score,late_night_session_pct,avg_session_mins,deposit_freq_7d,deposit_amount_increase_pct,withdrawal_reversal_count,consecutive_days_played,net_loss_30d,reality_check_dismissal_rate,high_volatility_game_pct,stake_variance_norm,rg_tool_usage,time_since_break_days,sessions_per_day,bet_count_7d,at_risk
PLY-00000,0.7739560485559633,0.06206310654015523,153.26443469710026,5,41.402758213236226,2,20,85.60247112171288,0.914842348702632,0.5015409120998952,0.01828454107028321,0,2,2.51261040347117,62,0
PLY-00001,0.4388784397520523,0.45826204153651395,85.88621366443061,7,57.05091529455913,0,13,253.41348310877487,0.3269891143002891,0.7323954332549851,0.7776326050180475,1,43,0.78730074173973,42,0
PLY-00002,0.8585979199113825,0.12903005718204175,172.0057774652176,5,0.06423036998737253,4,31,56.35803316393001,0.5792598871664242,0.18822537189633282,0.16193635337838963,1,13,1.4407158261188107,57,0
PLY-00003,0.6973680290593639,0.1523267101575757,120.63508025201524,5,64.48731146778623,2,40,313.02443862270485,0.8774625257433228,0.44379057347933304,0.5987384356281452,1,43,3.8910452822056754,42,0
PLY-00004,0.09417734788764953,0.6322828130302102,29.702807104272402,4,71.81757921279367,4,15,437.4495352782473,0.7729953951013782,0.5325301291849333,0.6810819619339803,1,34,4.763051027935444,80,0
PLY-00005,0.9756223516367559,0.39292739157023326,160.46580799855613,2,56.71093654887923,3,46,181.25944090186786,0.040733264805495994,0.7355653719592322,0.27936559294849683,1,12,4.658267489945778,38,0
PLY-00006,0.761139701990353,0.9218524501549951,93.17508244123562,2,49.655881704361605,4,38,84.24635965270222,0.9427907641276623,0.9644537107931075,0.5693138084114124,0,28,3.7102487181326684,64,1
PLY-00007,0.7860643052769538,0.31915649460807005,34.078624555393844,6,80.99364737117082,2,10,200.01249789220648,0.04664690425861273,0.8482755480042915,0.2402587459890747,0,2,0.9661698014319087,49,0
PLY-00008,0.12811363267554587,0.7261801283839011,35.957322753041524,0,68.13727171652418,0,57,392.9834107253135,0.5887584743743296,0.6215184202299502,0.9463154273679505,1,42,0.5950874495219687,64,0
PLY-00009,0.45038593789556713,0.4610994301549076,126.88076896867821,0,27.807403972002298,0,2,295.74383703979777,0.5753536203151648,0.5836406748348093,0.860170156349167,1,18,4.8017796652713995,71,0
PLY-00010,0.37079802423258124,0.6599513011292788,18.053326144013262,3,95.90733380799858,2,39,50.57160666380156,0.7863902307023161,0.6031866930726707,0.28804279149746914,1,23,3.521570388044245,18,0
PLY-00011,0.9267649888486018,0.5996953567159904,58.72094003534826,6,70.72671941953408,2,26,268.59357716351667,0.14844305184897766,0.5451786426597738,0.5288144909503397,1,9,4.804916565023293,24,0
PLY-00012,0.6438651200806645,0.4727839727589982,33.76389037987758,5,98.79389289124246,4,39,234.0426907277966,0.17937039206270378,0.059362880258923556,0.5006328571539057,0,22,1.3953365381366387,24,0
PLY-00013,0.82276161327083,0.9500610946244371,84.98316303493831,5,97.12613162688683,2,47,163.55612801058072,0.7521069327383605,0.698296394588205,0.960023257950074,1,24,2.7408274392412895,39,0
PLY-00014,0.44341419882733113,0.34271364275495586,80.44014123904142,4,91.89097228100898,5,41,55.080298026661644,0.14950475241162509,0.716336800129603,0.394028780183854,1,13,5.5554310789288515,39,0
PLY-00015,0.2272387217847769,0.17723550124927256,98.7189938971055,0,75.53715412253077,1,39,490.5559678101374,0.46944512706563957,0.5124803622670274,0.5622275546215668,0,59,1.4437889518594114,0,0
PLY-00016,0.5545847870158348,0.6780940608798283,57.53817594743014,2,60.942936849696736,2,51,88.0216599466278,0.7316480902109319,0.870387605402543,0.9287065948874371,0,17,0.8383979709689938,72,1
PLY-00017,0.06381725610417532,0.8460075613079088,15.447410194290123,0,17.21706636829242,4,42,96.37144539537273,0.6512419287826812,0.6724368027566785,0.16281105117655814,1,11,4.0940706107996165,69,0
PLY-00018,0.8276311719925821,0.04025373993992376,114.44563811098158,6,54.33514174237577,0,49,72.79134605111793,0.21060418611309517,0.36266465785701696,0.5504856032783381,0,33,3.7699498734196597,48,0
PLY-00019,0.6316643991220648,0.44963268842268056,73.53206048999974,6,76.53765223943273,1,24,285.0965193494691,0.30396025868608556,0.01969435359863425,0.10567292036182963,0,19,5.736167782217533,24,0
PLY-00020,0.7580877400853738,0.8924876896873263,120.72694978580789,2,52.08571587055678,4,12,221.8347872413502,0.968974903241041,0.059161646497680076,0.6174989318185006,0,27,5.485576315801817,66,1
PLY-00021,0.35452596812986836,0.7496186189228675,28.473385036725638,2,86.82391284056578,3,14,124.77859101327799,0.4486706201548839,0.3517982616417863,0.36568320338700466,1,44,4.62186714621314,21,0
PLY-00022,0.9706980243949033,0.9918077164976282,12.342150399988556,2,10.965589919169826,4,37,214.71169151076407,0.04445747643638054,0.46210532519868286,0.9676360731796007,0,4,0.6053648083303871,24,0
PLY-00023,0.8931211213221977,0.5314138115972438,52.21002214049977,8,38.094034804863405,3,32,336.76092553085897,0.21958489946633264,0.16687111950842504,0.4154091811485263,0,31,3.142128326236081,80,1
PLY-00024,0.7783834970737619,0.6599957188011513,87.61304490898887,4,50.596441859365726,5,4,140.85026574931507,0.34243508966183767,0.1893283064226321,0.13618763754170682,0,1,5.428560650953713,74,1
PLY-00025,0.19463870785196757,0.30248028113792813,76.99223560863943,6,43.23252958691081,5,12,457.6228880151902,0.9994894042945859,0.2302113587793363,0.8339999609284041,0,2,2.8850809846296253,47,0
PLY-00026,0.4667210037270342,0.9475355996659923,147.7514343964893,4,10.858654782155309,5,59,153.1731185888529,0.3026915474769186,0.7805133395762727,0.8208666914229141,0,5,5.791801457871471,13,1
PLY-00027,0.04380376578722878,0.3663354885565363,74.23239951278008,6,15.352829404463053,0,44,99.08951541142663,0.026395848782544973,0.7712878409517714,0.6948596195427844,1,9,4.088683893541904,9,0
PLY-00028,0.15428949206754783,0.7385107126866286,100.17500053252341,4,83.76172928554871,3,46,477.28392343640724,0.512921577555336,0.3829389854137788,0.748811801884228,0,21,1.1020142014853678,78,0
PLY-00029,0.6830489532424546,0.4031402041190819,110.89765071517267,2,48.4384259201451,0,12,405.2803050590897,0.08360538497397707,0.17236438158439582,0.26471521768940687,0,57,3.300996413526759,21,0
PLY-00030,0.7447621559078171,0.5618189300629993,13.711336579787973,7,4.872242675272764,1,3,171.5688124217328,0.27406759869572184,0.11090838506346923,0.6420535004227813,1,55,4.325894246048311,55,0
PLY-00031,0.96750973243421,0.7197825350215462,97.57267406385213,6,1.6491258977649914,1,17,420.715925571938,0.9923831760939391,0.08712931204717322,0.03801987120539363,1,6,0.8595293473179138,28,0
PLY-00032,0.32582535813815194,0.5089341517513543,68.62131409780244,6,47.34754019943266,3,52,259.4071245769,0.7046385189301544,0.3912792508993721,0.19689014389003456,1,60,2.395572426389221,40,0
PLY-00033,0.3704597060348689,0.9070863269095085,81.61762170615329,8,16.437872592444368,2,30,173.3762491305314,0.05066662928287036,0.0455424333211194,0.9322794475530867,1,38,4.443945846796925,79,0
PLY-00034,0.4695558112758079,0.41930098792781023,27.048857744192542,2,70.51259459992218,5,47,419.8057947696072,0.448686718591796,0.333635037126335,0.7392352970826587,0,33,1.3638924926886875,48,0
PLY-00035,0.1894713590842857,0.6470717981433252,143.07949616026968,0,79.53234625277513,1,29,376.0825334322202,0.1716375126288493,0.9615332425411374,0.23067254098925782,0,48,2.4158694404878744,34,0
PLY-00036,0.12992150533547164,0.3423624333000541,170.20872263744883,5,22.82967084571056,3,29,148.9374213215529,0.12294465640212127,0.5075046156100387,0.1113830895192881,0,29,4.294506773569787,33,0
PLY-00037,0.47570492622593374,0.40815666823101304,13.785699507032001,2,59.217694488178076,4,36,303.3392576289869,0.587065413348802,0.822644656835189,0.9489194448685015,0,16,4.765474960252626,18,0
PLY-00038,0.2269093490508841,0.4400501082335524,112.23336967792915,3,15.4444643485386,5,58,184.69511175989862,0.5056558896402157,0.12926594589539908,0.11218766606013275,1,32,3.3518148660398133,45,0
PLY-00039,0.6698139946825103,0.12580701831228525,139.85349143902087,2,30.3582651594387,1,26,0.5259862801940685,0.7428665843155082,0.26807878240970484,0.2570700480472482,0,44,5.762716402350053,46,0
PLY-00040,0.43715191887233074,0.09172367905900669,58.4172900704812,3,88.87954941814333,4,36,480.9078707001397,0.8923062282318597,0.9465464445440088,0.18263399299945715,1,41,5.589319723394481,7,1
PLY-00041,0.8326781960578374,0.6674899231467579,143.88444942674684,3,54.40980914823108,0,56,274.81453803641836,0.24668185743166193,0.3835518969340236,0.007463820411767963,1,10,3.1039037964928182,32,0
PLY-00042,0.7002651020022491,0.6555177383430523,117.50035863027122,3,88.58886951442001,3,22,299.2163008328916,0.9229919866553971,0.6484061284483223,0.314134774098044,1,57,1.381509255612273,52,0
PLY-00043,0.31236664138204107,0.6629097142100953,167.9576474860819,6,22.524780417950694,2,51,299.94571283864747,0.5179917725540955,0.9761267791625894,0.9741788715987626,1,17,4.751123601361772,4,0
PLY-00044,0.8322598013952011,0.019766445342691674,176.7708179301414,5,33.002434324866606,5,32,275.3207304097014,0.25883491818511717,0.5507877563307355,0.34190330580935646,1,50,1.837267664662292,79,0
PLY-00045,0.8047643574968019,0.3265468426717799,17.198839379779816,4,47.095213845681705,4,53,145.02392238679673,0.8457858381026093,0.3053459492287359,0.5043048794677737,0,19,5.135517204995077,69,1
PLY-00046,0.38747837903017446,0.19780984725919692,85.63941937459106,1,48.00800751945429,5,28,485.78806245402814,0.0355299180290225,0.5319484559520623,0.7459357839217814,1,3,3.7292938763530405,51,0
PLY-00047,0.2883281039302441,0.7781514225440124,102.98792388829709,5,99.76479671837004,5,38,310.83420625764245,0.5595093774729606,0.05463719933085931,0.5510801020792161,1,60,2.6675115351876064,1,0
PLY-00048,0.6824955039749755,0.8606304013961301,34.94634964530092,1,11.44453189711301,2,19,335.4606802769807,0.7216215350299666,0.11236987409269117,0.7435915074123066,1,35,3.560108472203993,41,0
